alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
14,Greece,45.63,Agiorgitiko,49.6,Nemeion,Igemon (1741),Red,2007
,Greece,11.13,Malagouzia,12.1,Karadimos,Malagouzia Drios Karadimou (2915),White,2017
14,Greece,25.12,Syrah,27.3,Avantis,Freedom (3929),Red,2016
13.5,Greece,13.95,Cabernet Franc,15.5,Porto Carras,Chateau Porto Carras (472),Red,2010
13.5,Greece,8.55,Athiri,9.5,Porto Carras,Melissanthi (467),White,2018
12.5,Greece,11.31,Agiorgitiko,12.3,Lafkiotis,Agionymo Lafkiotis (2647),Red,2000
13,Greece,7.74,Agiorgitiko,8.6,Semeli,Orinos Helios - Rose (2256),,2009
14,Greece,20.59,Syrah,22.4,Avantis,Plagies Gerakion - Red (2517),Red,2016
12.6,Greece,7.92,Viognier,8.8,Mercury,Foloi (388),White,2018
12.5,Greece,9.18,Malagouzia,10.2,Lantides,Mikri Kivotos - White (960),White,
12.2,Greece,9.57,Viognier,10.4,Claudia Papayianni,CP White (2545),White,2017
13.9,Greece,7.73,Cabernet Sauvignon,8.4,Lantides,Lantides Estate - Chrysampelo (1745),Red,2005
11.5,Greece,6.81,Moshofilero,7.4,Lafkiotis,Moschofilero Lafkiotis (2648),White,2007
12,Greece,11.13,Malagouzia,12.1,Claudia Papayianni,Alexandra (2544),White,2018
13,Greece,7.74,Syrah,8.6,Semeli,Orinos Helios - Red (490),Red,2017
12.6,Greece,12.24,Chardonnay,13.3,Claudia Papayianni,Domaine Claudia Papayianni White (2543),White,2016
12,Greece,7.92,Moshofilero,8.8,Lantides,Anosis (1749),White,2018
,Greece,5.94,Agiorgitiko,6.6,Semeli,Giorti - White (2696),Red,
13.2,Greece,11.96,Sauvignon Blanc,13.0,Akrathos,Oros (4078),White,2017
14,Greece,15.27,Agiorgitiko,16.6,Palivos,Terra Leone - Ammos Reserve (73),Red,2006
13.5,Greece,10.03,Agiorgitiko,10.9,Palivos,Palivou Estate - Nemea (74),Red,2006
12,Greece,4.77,Kotsifali,5.3,Boutari,Boutari - Kritikos Red (3037),Red,2016
14,Greece,33.12,Chardonnay,36.0,Antonopoulos,ANAX (154),White,2018
12.5,Greece,10.62,Moshofilero,11.8,Gentilini Kosmetatos,Notes Rose (228),,2018
,Greece,5.94,Moshofilero,6.6,Semeli,Piccolo Mondo - White (2697),White,
13,Greece,7.35,Cabernet Sauvignon,8.2,Symeonidis,Iliostalachtos - Red (2075),Red,2013
12.5,Greece,6.17,Sauvignon Blanc,6.9,Symeonidis,Iliostalachtos - White (2074),White,2018
14,Greece,14.17,Merlot,15.4,Ampelois,Ampelois Gold (2183),Red,2012
13,Greece,10.76,Sauvignon Blanc,11.7,Ampelois,Symfonia (2186),White,2017
12,Greece,9.11,Chardonnay,9.9,Boutari,4 Epoches (9),White,2010
"15,5",Greece,18.77,Cabernet Franc,20.4,Antonopoulos,Nea Dris- Cabernet (162),Red,2015
